Date,Open,High,Low,Close,Volume
12/29/2020,"8.24","8.24","8.24","8.24","6,700"
12/28/2020,"8.05","8.30","8.02","8.24","113,700"
12/23/2020,"8.05","8.22","8.03","8.10","50,300"
12/22/2020,"8.40","8.40","8.01","8.11","86,500"
12/21/2020,"8.36","8.70","8.28","8.48","111,300"
12/18/2020,"8.80","8.82","8.30","8.36","290,500"
12/17/2020,"8.80","8.82","8.57","8.82","23,300"
12/16/2020,"8.82","8.82","8.65","8.80","21,800"
12/15/2020,"8.87","8.90","8.76","8.78","48,600"
12/14/2020,"8.69","8.84","8.69","8.84","59,900"
12/11/2020,"8.60","8.63","8.51","8.60","125,500"
12/10/2020,"8.61","8.63","8.60","8.63","67,000"
12/09/2020,"8.64","8.64","8.53","8.61","75,100"
12/07/2020,"8.55","8.67","8.55","8.60","28,700"
12/04/2020,"8.69","8.69","8.54","8.55","6,900"
12/03/2020,"8.55","8.58","8.52","8.58","45,200"
12/02/2020,"8.57","8.80","8.54","8.60","50,400"
12/01/2020,"8.86","8.87","8.52","8.84","81,400"
11/27/2020,"8.96","8.96","8.55","8.88","25,000"
11/26/2020,"9.10","9.10","8.52","8.55","102,000"
11/25/2020,"9.00","9.14","9.00","9.09","27,900"
11/24/2020,"9.20","9.30","8.71","9.00","101,400"
11/23/2020,"8.35","9.00","8.35","9.00","189,200"
11/20/2020,"8.39","8.39","8.20","8.39","53,000"
11/19/2020,"8.23","8.40","8.23","8.39","21,000"
11/18/2020,"8.35","8.35","8.23","8.23","38,700"
11/17/2020,"8.24","8.30","8.20","8.23","49,300"
11/16/2020,"8.20","8.23","8.19","8.22","88,200"
11/13/2020,"8.21","8.24","8.11","8.20","39,100"
11/11/2020,"8.10","8.15","8.10","8.13","99,200"
11/10/2020,"7.95","8.00","7.90","8.00","83,500"
11/09/2020,"7.70","7.97","7.50","7.94","56,800"
11/06/2020,"7.90","7.99","7.51","7.70","32,500"
11/05/2020,"7.64","7.90","7.64","7.85","177,600"
11/04/2020,"8.00","8.00","7.30","7.64","64,500"
11/03/2020,"7.75","8.00","7.70","8.00","148,600"
10/30/2020,"7.55","7.75","7.50","7.68","30,700"
10/29/2020,"7.25","7.55","7.00","7.55","250,600"
10/28/2020,"7.30","7.45","7.22","7.25","45,900"
10/27/2020,"7.44","7.70","7.21","7.31","187,300"
10/26/2020,"7.80","7.80","7.20","7.75","125,300"
