Date,Open,High,Low,Close,Volume
2020-01-02,45.2,45.3,43.5,44.9,8624300
2020-01-03,44.05,45.2,44.05,44.75,9280200
2020-01-06,44.5,44.5,43.65,44.15,13041800
2020-01-07,44.15,44.55,44.15,44.2,12564400
2020-01-08,43.2,44.35,42.6,44.05,8829300
2020-01-09,44.05,45.05,44.05,45.0,20253301
2020-01-10,45.0,45.05,44.1,44.35,8807500
2020-01-14,44.0,44.0,43.5,43.9,17446600
2020-01-15,43.85,44.0,43.2,43.2,6208500
2020-01-16,43.9,43.9,42.5,42.9,18848301
2020-01-17,43.45,43.8,42.75,43.55,12670000
2020-01-20,43.4,43.4,40.5,40.5,19904400
2020-01-21,41.0,41.1,38.5,39.5,44279699
2020-01-22,38.7,40.15,38.25,39.4,34273301
2020-01-23,39.4,41.25,39.4,40.8,23247699
2020-01-24,41.35,41.7,41.0,41.4,30293000
2020-01-27,41.4,42.0,41.35,41.6,28759100
2020-01-28,41.1,41.75,40.75,41.5,14436200
2020-01-29,41.6,42.0,41.2,42.0,6643300
2020-01-30,41.75,42.05,41.6,41.9,9373300
2020-01-31,42.0,42.0,41.3,41.6,16971600
2020-02-03,41.45,41.45,40.0,40.95,9543500
2020-02-04,41.0,41.1,40.6,40.95,11871400
2020-02-05,41.4,41.95,41.25,41.95,7781500
2020-02-06,42.0,43.35,42.0,43.35,9796400
2020-02-07,43.45,43.45,42.6,43.35,7912200
2020-02-10,43.35,44.05,43.15,43.7,29150000
2020-02-11,44.0,44.0,43.5,43.65,11287900
2020-02-12,44.0,44.15,43.6,43.6,11904800
2020-02-13,43.6,44.0,42.3,42.9,4686700
2020-02-14,42.95,43.05,41.1,41.1,8647600
2020-02-17,41.65,41.9,41.0,41.0,10334900
2020-02-18,41.0,41.3,40.55,41.1,13736400
2020-02-19,41.45,43.5,41.3,42.2,18788000
2020-02-20,42.25,42.6,42.25,42.45,15182800
2020-02-21,42.6,42.75,42.15,42.25,14983200
2020-02-24,41.4,41.55,40.7,41.4,10745500
2020-02-26,40.0,40.1,38.15,38.65,34613602
2020-02-27,38.5,40.4,38.5,40.4,48181500
2020-02-28,39.3,39.5,38.65,39.0,34020602
2020-03-02,38.9,40.1,38.5,39.8,10917800
2020-03-03,40.2,40.4,39.55,39.6,11519700
2020-03-04,39.4,40.75,39.25,40.75,10981200
2020-03-05,40.75,40.85,40.25,40.4,5641200
2020-03-06,40.0,40.75,39.25,39.6,12334700
2020-03-09,38.0,38.85,37.3,37.75,13538400
2020-03-10,36.8,38.2,36.4,37.1,18829600
2020-03-11,37.55,38.4,37.25,38.2,20960400
2020-03-12,37.3,37.45,32.25,33.9,22573500
2020-03-13,31.1,33.8,30.0,33.0,32470900
2020-03-16,31.5,32.9,28.8,28.8,23531699
2020-03-19,24.0,25.2,19.44,22.95,37897102
2020-03-20,23.6,26.5,23.6,26.3,27880600
2020-03-23,25.0,28.2,25.0,27.5,28629500
2020-03-24,27.6,30.65,27.6,29.1,22226100
2020-03-25,31.1,31.9,30.0,30.7,20502600
2020-03-26,31.25,33.2,30.8,32.3,17143400
2020-03-27,33.65,34.35,30.65,31.0,18120900
2020-03-30,30.95,32.0,28.55,31.0,13388400
2020-03-31,31.6,32.8,30.2,30.2,30775000
2020-04-01,30.8,31.6,30.3,31.15,17857100
2020-04-02,30.5,32.3,30.1,32.3,10361500
2020-04-03,31.9,32.1,31.2,32.0,8311000
2020-04-06,32.0,32.75,31.8,32.5,8315000
2020-04-07,33.5,34.0,32.7,33.5,8308100
2020-04-08,32.4,32.65,31.8,32.0,11319200
2020-04-13,32.3,33.45,31.95,33.45,7580800
2020-04-14,33.55,33.75,32.7,33.75,12660700
2020-04-15,34.0,34.15,33.2,34.0,11691800
2020-04-16,32.3,32.3,30.2,30.2,26302600
2020-04-17,31.45,31.85,31.0,31.55,22989199
2020-04-20,31.75,32.05,30.5,31.1,11689400
2020-04-21,31.0,31.2,30.7,30.95,7213200
2020-04-22,30.5,30.5,30.0,30.2,8860200
2020-04-23,30.6,31.15,30.2,30.2,5184700
2020-04-24,30.25,30.5,28.9,28.9,17380699
2020-04-27,29.3,29.45,28.2,29.2,6908300
2020-04-28,29.45,30.3,29.4,30.25,8868000
2020-04-29,30.45,31.7,30.3,31.0,12591200
2020-04-30,31.8,32.2,31.3,31.95,18012900
2020-05-04,31.7,31.8,30.75,31.8,13078500
2020-05-05,32.0,33.35,31.8,33.2,14117000
2020-05-06,33.3,33.7,32.55,33.5,21794900
2020-05-07,33.5,33.75,32.95,33.75,7477800
2020-05-08,33.6,33.65,32.65,32.65,11277100
2020-05-11,32.5,33.5,31.9,33.3,7716100
2020-05-12,32.85,33.15,31.65,31.8,32212100
2020-05-13,32.2,32.9,32.15,32.5,20788500
2020-05-14,32.0,32.5,31.5,32.5,6773800
2020-05-15,32.7,33.1,32.0,32.0,8639300
2020-05-18,31.65,32.45,31.35,31.35,7581600
2020-05-19,32.25,32.5,31.85,31.9,10646700
2020-05-20,31.9,32.25,31.5,32.0,6807800
2020-05-21,32.4,32.5,31.85,32.05,7250200
2020-05-22,32.25,32.25,30.9,30.9,7955700
2020-05-26,31.0,31.45,29.65,29.9,18646400
2020-05-27,30.0,30.25,29.05,29.25,17920699
2020-05-28,29.5,30.85,29.5,30.75,10867600
2020-05-29,32.0,32.1,31.35,32.0,60551301
2020-06-01,32.4,32.55,31.6,32.55,10321300
2020-06-02,32.6,33.3,32.6,33.3,9197400
2020-06-03,33.5,36.0,33.45,36.0,17161801
2020-06-04,36.0,37.5,35.1,37.5,18397500
2020-06-05,36.7,38.0,35.7,38.0,12686100
2020-06-08,38.0,38.3,37.1,38.0,8368800
2020-06-09,37.75,38.0,36.65,38.0,12179000
2020-06-10,37.85,37.9,35.6,36.4,9987800
2020-06-11,36.3,37.4,35.2,37.4,8390900
2020-06-15,35.85,36.45,35.1,35.8,13292300
2020-06-16,36.35,37.0,35.2,35.9,10427100
2020-06-17,36.0,36.2,35.8,35.8,5795700
