Date,Open,High,Low,Close,Volume
2020-01-02,7.33,10.1,7.33,9.88,2754200
2020-01-03,10.1,10.54,9.0,9.5,2229000
2020-01-06,9.45,9.65,9.08,9.3,501100
2020-01-07,9.2,9.98,9.05,9.8,993200
2020-01-08,9.88,10.18,9.28,9.55,1431500
2020-01-09,9.56,10.32,9.55,9.9,1718100
2020-01-10,10.18,10.18,9.57,9.58,658000
2020-01-14,9.58,9.58,8.71,8.97,2265300
2020-01-15,9.2,9.2,8.4,8.75,630200
2020-01-16,8.39,8.71,8.39,8.5,163100
2020-01-17,8.5,8.95,8.35,8.7,676100
2020-01-20,8.71,8.89,7.91,8.1,1536200
2020-01-21,8.1,8.45,7.82,7.88,551400
2020-01-22,7.9,8.17,7.8,8.13,139100
2020-01-23,8.01,8.3,8.01,8.24,130700
2020-01-24,8.11,8.35,8.09,8.1,102900
2020-01-27,8.1,8.1,7.85,8.0,175000
2020-01-28,7.9,8.2,7.7,8.17,552700
2020-01-29,8.2,8.2,7.95,7.95,127400
2020-01-30,8.0,8.07,7.85,8.0,92500
2020-01-31,8.0,8.24,7.4,7.91,663400
2020-02-03,7.91,8.0,7.55,7.9,152400
2020-02-04,7.99,8.05,7.6,7.6,216400
2020-02-05,7.8,8.05,7.6,7.77,198600
2020-02-06,7.61,7.9,7.45,7.65,602500
2020-02-07,7.45,7.6,7.28,7.48,444300
2020-02-10,7.5,7.6,7.3,7.5,159900
2020-02-11,7.4,7.47,7.21,7.39,104100
2020-02-12,7.39,7.58,7.23,7.23,53400
2020-02-13,7.21,7.39,7.03,7.18,141600
2020-02-14,7.18,7.18,6.85,6.99,144200
2020-02-17,6.99,6.99,6.83,6.85,114900
2020-02-18,6.85,7.45,6.81,6.99,129500
2020-02-19,7.42,7.42,7.02,7.27,179500
2020-02-20,7.02,7.33,7.02,7.17,45900
2020-02-21,7.3,7.3,7.04,7.1,29200
2020-02-24,7.04,7.17,6.7,6.71,141400
2020-02-26,6.72,7.0,6.3,6.45,194000
2020-02-27,6.45,6.8,6.38,6.49,73300
2020-02-28,6.2,7.29,6.2,6.49,483300
2020-03-02,6.5,6.5,6.27,6.27,85700
2020-03-03,6.28,6.74,6.2,6.44,209900
2020-03-04,6.46,6.58,6.21,6.58,287700
2020-03-05,6.41,7.98,6.4,7.78,3904500
2020-03-06,7.78,8.17,7.25,7.4,3060500
2020-03-09,7.1,7.5,6.24,6.76,1009300
2020-03-10,6.2,6.2,5.48,6.07,431100
2020-03-11,6.15,6.33,5.82,6.09,389500
2020-03-12,5.82,5.82,5.5,5.65,380100
2020-03-13,5.64,5.64,5.0,5.39,406400
2020-03-16,5.0,5.4,4.94,5.28,86300
2020-03-19,5.0,5.0,4.2,4.7,318300
2020-03-20,5.0,5.5,4.65,5.19,39000
2020-03-23,5.18,5.18,4.45,5.0,56200
2020-03-24,4.7,4.8,4.6,4.7,66400
2020-03-25,4.74,5.2,4.74,5.16,192000
2020-03-26,5.2,5.48,5.0,5.28,118300
2020-03-27,5.6,5.8,5.24,5.45,69600
2020-03-30,5.25,5.4,4.9,5.25,218700
2020-03-31,5.2,5.27,5.1,5.1,75600
2020-04-01,5.11,5.25,5.11,5.11,4600
2020-04-02,5.2,5.2,5.02,5.18,133300
2020-04-03,5.39,5.39,5.1,5.27,5000
2020-04-06,5.27,5.4,5.13,5.16,155000
2020-04-07,5.26,5.33,5.26,5.31,100400
2020-04-08,5.31,5.34,5.0,5.19,136100
2020-04-13,5.1,5.23,5.07,5.23,17700
2020-04-14,5.24,5.43,5.14,5.42,103100
2020-04-15,5.5,6.3,5.5,5.94,573700
2020-04-16,6.25,6.4,5.96,6.29,277600
2020-04-17,6.38,6.4,6.15,6.4,319200
2020-04-20,6.48,6.85,6.2,6.74,203500
2020-04-21,6.31,7.19,6.24,7.1,711500
2020-04-22,7.19,7.29,6.7,7.24,338200
2020-04-23,7.23,7.23,6.86,7.18,324600
